x,y,y_coordinate
26.2,0.760809621,5.765136847
26.3,0.75989668,5.75303055
26.4,0.75898374,5.740949675
26.5,0.758070799,5.728894168
26.6,0.757157859,5.716863977
26.7,0.756244919,5.704859049
26.8,0.755331978,5.69287933
26.9,0.754419038,5.680924767
27,0.753506098,5.668995308
27.1,0.752593157,5.6570909
27.2,0.751680217,5.64521149
27.3,0.750767276,5.633357026
27.4,0.74861958,5.605567415
27.5,0.746337229,5.576185708
27.6,0.744054878,5.546958007
27.7,0.741772527,5.517883502
27.8,0.739490176,5.488961393
27.9,0.737207825,5.460190879
28,0.734925474,5.431571167
28.1,0.732643123,5.403101466
28.2,0.730360772,5.374780989
28.3,0.728078421,5.346608955
28.4,0.72579607,5.318584584
28.5,0.72351372,5.290707105
28.6,0.721231369,5.262975745
28.7,0.718949018,5.235389741
28.8,0.716666667,5.207948329
28.9,0.714384316,5.180650751
29,0.712101965,5.153496255
29.1,0.709819614,5.126484089
29.2,0.707537263,5.099613509
29.3,0.705254912,5.072883771
29.4,0.702972561,5.046294137
29.5,0.70069021,5.019843874
29.6,0.698407859,4.99353225
29.7,0.696125508,4.96735854
29.8,0.693843157,4.941322019
29.9,0.691560806,4.91542197
30,0.689278455,4.889657676
30.1,0.686996104,4.864028426
30.2,0.684713753,4.838533512
30.3,0.682431402,4.813172231
30.4,0.680149051,4.787943882
30.5,0.677866701,4.762847767
30.6,0.67558435,4.737883194
30.7,0.673301999,4.713049474
30.8,0.671019648,4.68834592
30.9,0.669011324,4.666715484
31,0.667707123,4.652722206
31.1,0.666402923,4.638770888
31.2,0.665098722,4.624861403
31.3,0.663794522,4.610993626
31.4,0.662490321,4.597167432
31.5,0.661186121,4.583382696
31.6,0.65988192,4.569639294
31.7,0.65857772,4.555937102
31.8,0.657273519,4.542275996
31.9,0.655969319,4.528655854
32,0.654665118,4.515076552
32.1,0.653360918,4.501537968
32.2,0.652056717,4.48803998
32.3,0.650752516,4.474582466
32.4,0.649448316,4.461165304
32.5,0.648144115,4.447788375
32.6,0.646839915,4.434451556
32.7,0.645535714,4.421154728
32.8,0.644231514,4.407897771
32.9,0.642927313,4.394680566
33,0.64192464,4.384546097
33.1,0.641222379,4.377461938
33.2,0.640520117,4.370389225
33.3,0.639817855,4.363327939
33.4,0.639115593,4.356278062
33.5,0.638413331,4.349239576
33.6,0.637711069,4.342212462
33.7,0.637008808,4.335196702
33.8,0.636306546,4.328192277
33.9,0.635604284,4.321199169
34,0.634902022,4.31421736
34.1,0.63419976,4.307246832
34.2,0.633497498,4.300287566
34.3,0.632795237,4.293339545
34.4,0.632092975,4.286402749
34.5,0.631390713,4.279477161
34.6,0.630688451,4.272562763
34.7,0.629986189,4.265659536
34.8,0.629283927,4.258767464
34.9,0.628213538,4.24828396
35,0.6257237,4.223997966
35.1,0.623233863,4.199850807
35.2,0.620744026,4.175841688
35.3,0.618254188,4.151969822
35.4,0.615764351,4.128234423
35.5,0.613274513,4.104634711
35.6,0.610784676,4.08116991
35.7,0.608294839,4.05783925
35.8,0.605805001,4.034641964
35.9,0.603315164,4.011577288
36,0.600825326,3.988644465
36.1,0.598335489,3.965842742
36.2,0.595845652,3.943171368
36.3,0.593355814,3.920629598
36.4,0.590865977,3.898216693
36.5,0.588376139,3.875931914
36.6,0.587406843,3.867290914
36.7,0.586646059,3.860522244
36.8,0.585885276,3.85376542
36.9,0.585124492,3.847020423
37,0.584363708,3.840287231
37.1,0.583602925,3.833565823
37.2,0.582842141,3.826856179
37.3,0.582081357,3.820158279
37.4,0.581320574,3.813472102
37.5,0.58055979,3.806797627
37.6,0.579799006,3.800134835
37.7,0.579038223,3.793483703
37.8,0.578277439,3.786844213
37.9,0.577516655,3.780216343
38,0.576755872,3.773600074
38.1,0.575995088,3.766995384
38.2,0.575234304,3.760402255
38.3,0.574480981,3.753885151
38.4,0.573828881,3.748252861
38.5,0.573176781,3.742629021
38.6,0.572524681,3.737013619
38.7,0.57187258,3.731406643
38.8,0.57122048,3.725808079
38.9,0.57056838,3.720217915
39,0.56991628,3.714636138
39.1,0.569264179,3.709062737
39.2,0.568612079,3.703497697
39.3,0.567959979,3.697941008
39.4,0.567307878,3.692392655
39.5,0.566655778,3.686852628
39.6,0.566003678,3.681320912
39.7,0.565351578,3.675797496
39.8,0.564699477,3.670282368
39.9,0.564047377,3.664775514
40,0.563395277,3.659276923
40.1,0.562743177,3.653786582
40.2,0.562091076,3.648304478
40.3,0.561438976,3.6428306
40.4,0.560623306,3.635995242
40.5,0.559406052,3.625818432
40.6,0.558188799,3.615670106
40.7,0.556971545,3.605550184
40.8,0.555754291,3.595458587
40.9,0.554537037,3.585395236
41,0.553319783,3.57536005
41.1,0.552102529,3.565352953
41.2,0.550885276,3.555373864
41.3,0.549668022,3.545422706
41.4,0.548450768,3.5354994
41.5,0.547233514,3.525603868
41.6,0.54601626,3.515736033
41.7,0.544799006,3.505895818
41.8,0.543581752,3.496083144
41.9,0.542364499,3.486297935
42,0.541147245,3.476540114
42.1,0.539929991,3.466809604
42.2,0.538712737,3.457106329
42.3,0.537495483,3.447430212
42.4,0.536278229,3.437781178
42.5,0.535060976,3.42815915
42.6,0.533835818,3.418501836
42.7,0.53231425,3.406545941
42.8,0.530792683,3.39463186
42.9,0.529271116,3.382759447
43,0.527749548,3.370928558
43.1,0.526227981,3.359139045
43.2,0.524706414,3.347390766
43.3,0.523184846,3.335683575
43.4,0.521663279,3.324017328
43.5,0.520141712,3.312391884
43.6,0.518620145,3.300807098
43.7,0.517098577,3.289262829
43.8,0.51557701,3.277758935
43.9,0.514055443,3.266295275
44,0.512533875,3.254871708
44.1,0.511012308,3.243488094
44.2,0.509490741,3.232144293
