x,y,y_coordinate
50.3,-0.419687078,0.380463433
50.4,-0.421280405,0.379070157
50.5,-0.422873733,0.377681982
50.6,-0.424467061,0.376298892
50.7,-0.426060389,0.374920866
50.8,-0.427653716,0.373547887
50.9,-0.429247044,0.372179935
51,-0.430840372,0.370816993
51.1,-0.432433699,0.369459043
51.2,-0.434027027,0.368106065
51.3,-0.435620355,0.366758042
51.4,-0.437213682,0.365414955
51.5,-0.43880701,0.364076787
51.6,-0.440400338,0.362743519
51.7,-0.441993666,0.361415134
51.8,-0.443586993,0.360091613
51.9,-0.445180321,0.35877294
52,-0.446655405,0.357556432
52.1,-0.448021115,0.356433804
52.2,-0.449386824,0.3553147
52.3,-0.450752534,0.354199111
52.4,-0.452118243,0.353087023
52.5,-0.453483953,0.351978428
52.6,-0.454849662,0.350873313
52.7,-0.456215372,0.349771668
52.8,-0.457581081,0.348673482
52.9,-0.458946791,0.347578744
53,-0.4603125,0.346487443
53.1,-0.461678209,0.345399568
53.2,-0.463043919,0.344315109
53.3,-0.464409628,0.343234055
53.4,-0.465775338,0.342156396
53.5,-0.467141047,0.341082119
53.6,-0.468506757,0.340011216
53.7,-0.469872466,0.338943675
53.8,-0.471238176,0.337879486
53.9,-0.472603885,0.336818638
54,-0.473969595,0.33576112
54.1,-0.475335304,0.334706924
54.2,-0.476701014,0.333656036
54.3,-0.478066723,0.332608449
54.4,-0.479432432,0.331564151
54.5,-0.480798142,0.330523131
54.6,-0.482163851,0.32948538
54.7,-0.483529561,0.328450887
54.8,-0.48489527,0.327419642
54.9,-0.48626098,0.326391635
55,-0.487816723,0.325224517
55.1,-0.489410051,0.324033528
55.2,-0.491003378,0.322846901
55.3,-0.492596706,0.321664619
55.4,-0.494190034,0.320486667
55.5,-0.495783361,0.319313028
55.6,-0.497376689,0.318143688
55.7,-0.498970017,0.316978629
55.8,-0.500563345,0.315817837
55.9,-0.502156672,0.314661296
56,-0.50375,0.313508991
56.1,-0.505343328,0.312360905
56.2,-0.506936655,0.311217023
56.3,-0.508529983,0.310077331
56.4,-0.510123311,0.308941812
56.5,-0.511716639,0.307810451
56.6,-0.513309966,0.306683234
56.7,-0.514903294,0.305560144
56.8,-0.516496622,0.304441167
56.9,-0.518089949,0.303326288
57,-0.519683277,0.302215492
57.1,-0.521276605,0.301108763
57.2,-0.522869932,0.300006088
57.3,-0.52446326,0.29890745
57.4,-0.526056588,0.297812836
57.5,-0.527649916,0.29672223
57.6,-0.529243243,0.295635618
57.7,-0.530836571,0.294552986
57.8,-0.532429899,0.293474318
57.9,-0.53398902,0.292422631
58,-0.53535473,0.291504505
58.1,-0.536720439,0.290589261
58.2,-0.538086149,0.289676891
58.3,-0.539451858,0.288767386
58.4,-0.540817568,0.287860737
58.5,-0.542183277,0.286956934
58.6,-0.543548986,0.286055968
58.7,-0.544914696,0.285157832
58.8,-0.546280405,0.284262515
58.9,-0.547646115,0.28337001
59,-0.549011824,0.282480306
59.1,-0.550377534,0.281593397
59.2,-0.551743243,0.280709271
59.3,-0.553108953,0.279827922
59.4,-0.554474662,0.27894934
59.5,-0.555840372,0.278073516
59.6,-0.557206081,0.277200442
59.7,-0.558571791,0.27633011
59.8,-0.5599375,0.27546251
59.9,-0.561303209,0.274597634
60,-0.562668919,0.273735473
60.1,-0.564034628,0.27287602
60.2,-0.565400338,0.272019265
60.3,-0.566766047,0.271165199
60.4,-0.568131757,0.270313816
60.5,-0.569497466,0.269465105
60.6,-0.570863176,0.26861906
60.7,-0.572228885,0.26777567
60.8,-0.573594595,0.266934929
60.9,-0.574960304,0.266096827
61,-0.576326014,0.265261357
61.1,-0.577691723,0.264428509
61.2,-0.579057432,0.263598277
61.3,-0.580423142,0.262770652
61.4,-0.581788851,0.261945625
61.5,-0.583154561,0.261123188
61.6,-0.58452027,0.260303333
61.7,-0.58588598,0.259486053
61.8,-0.587251689,0.258671339
61.9,-0.588617399,0.257859182
62,-0.589983108,0.257049576
62.1,-0.591348818,0.256242512
62.2,-0.592714527,0.255437981
62.3,-0.594080236,0.254635977
62.4,-0.595162162,0.25400241
62.5,-0.596072635,0.253470467
62.6,-0.596983108,0.252939638
62.7,-0.597893581,0.25240992
62.8,-0.598804054,0.251881312
62.9,-0.599714527,0.25135381
63,-0.600625,0.250827414
63.1,-0.601535473,0.250302119
63.2,-0.602445946,0.249777925
63.3,-0.603356419,0.249254829
63.4,-0.604266892,0.248732828
63.5,-0.605177365,0.248211921
63.6,-0.606087838,0.247692104
63.7,-0.606998311,0.247173376
63.8,-0.607908784,0.246655734
63.9,-0.609174831,0.245937735
64,-0.610540541,0.245165559
64.1,-0.61190625,0.244395807
64.2,-0.613271959,0.243628472
64.3,-0.614637669,0.242863546
64.4,-0.616003378,0.242101021
64.5,-0.617369088,0.241340891
64.6,-0.618734797,0.240583148
64.7,-0.620100507,0.239827783
64.8,-0.621466216,0.23907479
64.9,-0.622831926,0.238324162
65,-0.624197635,0.23757589
65.1,-0.625563345,0.236829968
65.2,-0.626929054,0.236086387
65.3,-0.628294764,0.235345141
65.4,-0.630087838,0.234375473
65.5,-0.631908784,0.233394822
65.6,-0.63372973,0.232418273
65.7,-0.635550676,0.231445811
65.8,-0.637371622,0.230477417
65.9,-0.639192568,0.229513075
66,-0.641013514,0.228552769
66.1,-0.642834459,0.22759648
66.2,-0.644655405,0.226644192
66.3,-0.646476351,0.225695889
66.4,-0.648297297,0.224751554
66.5,-0.650118243,0.22381117
66.6,-0.651939189,0.22287472
66.7,-0.653760135,0.221942189
66.8,-0.655493243,0.221058265
66.9,-0.656403716,0.220595315
67,-0.657314189,0.220133334
67.1,-0.658224662,0.219672321
67.2,-0.659135135,0.219212273
67.3,-0.660045608,0.218753188
67.4,-0.660956081,0.218295066
67.5,-0.661866554,0.217837902
67.6,-0.662777027,0.217381696
67.7,-0.6636875,0.216926445
67.8,-0.664597973,0.216472148
67.9,-0.665508446,0.216018802
68,-0.666418919,0.215566406
68.1,-0.667329392,0.215114957
68.2,-0.668239865,0.214664453
68.3,-0.669266047,0.214157828
68.4,-0.670631757,0.213485431
68.5,-0.671997466,0.212815146
68.6,-0.673363176,0.212146966
68.7,-0.674728885,0.211480883
68.8,-0.676094595,0.210816892
68.9,-0.677460304,0.210154985
69,-0.678826014,0.209495156
69.1,-0.680191723,0.2088374
69.2,-0.681557432,0.208181708
69.3,-0.682923142,0.207528075
69.4,-0.684288851,0.206876495
69.5,-0.685654561,0.20622696
69.6,-0.68702027,0.205579464
69.7,-0.68838598,0.204934002
69.8,-0.689751689,0.204290566
69.9,-0.691117399,0.20364915
70,-0.692483108,0.203009748
70.1,-0.693848818,0.202372354
70.2,-0.695214527,0.20173696
70.3,-0.696580236,0.201103562
70.4,-0.697945946,0.200472153
70.5,-0.699311655,0.199842726
70.6,-0.700677365,0.199215275
70.7,-0.702043074,0.198589794
70.8,-0.703408784,0.197966277
70.9,-0.704774493,0.197344718
71,-0.706140203,0.19672511
71.1,-0.707505912,0.196107448
71.2,-0.708871622,0.195491725
71.3,-0.70971875,0.195110773
71.4,-0.710173986,0.194906361
