    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     1.66     1.782     1.959     1.099     0.416     0.376     0.065       13.450
     1.67     1.782     1.959     1.099     0.416     0.376     0.065       13.453
     1.68     1.782     1.959     1.100     0.416     0.376     0.065       13.456
     1.69     1.782     1.959     1.100     0.416     0.376     0.065       13.458
     1.70     1.782     1.959     1.100     0.416     0.376     0.065       13.461
     1.71     1.782     1.959     1.100     0.416     0.377     0.065       13.464
     1.72     1.782     1.959     1.100     0.416     0.377     0.065       13.467
     1.73     1.782     1.960     1.100     0.416     0.377     0.065       13.470
     1.74     1.782     1.960     1.100     0.416     0.377     0.065       13.472
     1.75     1.782     1.960     1.100     0.416     0.377     0.065       13.475
     1.76     1.782     1.960     1.100     0.416     0.377     0.065       13.478
     1.77     1.782     1.960     1.100     0.416     0.377     0.065       13.480
     1.78     1.782     1.961     1.100     0.416     0.377     0.065       13.483
     1.79     1.783     1.961     1.100     0.416     0.377     0.065       13.485
     1.80     1.783     1.961     1.100     0.416     0.377     0.065       13.487
     1.81     1.783     1.961     1.100     0.416     0.377     0.065       13.490
     1.82     1.783     1.961     1.100     0.416     0.377     0.065       13.493
     1.83     1.783     1.962     1.100     0.416     0.377     0.065       13.496
     1.84     1.783     1.962     1.100     0.416     0.377     0.065       13.499
     1.85     1.783     1.962     1.100     0.416     0.377     0.065       13.501
     1.86     1.783     1.962     1.100     0.416     0.377     0.065       13.504
     1.87     1.783     1.962     1.100     0.416     0.377     0.065       13.507
     1.88     1.783     1.962     1.100     0.416     0.377     0.065       13.510
     1.89     1.783     1.962     1.101     0.416     0.377     0.065       13.513
     1.90     1.783     1.962     1.101     0.416     0.377     0.065       13.516
     1.91     1.783     1.963     1.101     0.415     0.377     0.065       13.519
     1.92     1.783     1.963     1.101     0.415     0.377     0.065       13.522
     1.93     1.783     1.963     1.101     0.415     0.377     0.065       13.524
     1.94     1.783     1.963     1.101     0.415     0.377     0.065       13.527
     1.95     1.783     1.963     1.101     0.415     0.377     0.065       13.530
     1.96     1.784     1.963     1.101     0.415     0.377     0.065       13.533
     1.97     1.784     1.964     1.101     0.415     0.377     0.065       13.535
     1.98     1.784     1.964     1.101     0.415     0.377     0.065       13.538
     1.99     1.784     1.964     1.101     0.415     0.377     0.065       13.540
     2.00     1.784     1.965     1.101     0.415     0.377     0.065       13.543
     2.01     1.784     1.965     1.101     0.415     0.377     0.065       13.546
     2.02     1.784     1.965     1.101     0.415     0.377     0.065       13.549
     2.03     1.784     1.965     1.101     0.415     0.377     0.065       13.551
     2.04     1.785     1.965     1.101     0.415     0.377     0.065       13.554
     2.05     1.785     1.965     1.101     0.415     0.377     0.065       13.557
     2.06     1.785     1.965     1.101     0.415     0.377     0.065       13.560
     2.07     1.785     1.966     1.101     0.415     0.377     0.065       13.563
     2.08     1.785     1.966     1.101     0.415     0.377     0.065       13.566
     2.09     1.785     1.966     1.101     0.415     0.377     0.065       13.569
     2.10     1.785     1.966     1.102     0.415     0.377     0.065       13.572
     2.11     1.785     1.966     1.102     0.415     0.377     0.065       13.575
     2.12     1.785     1.966     1.102     0.415     0.377     0.065       13.578
     2.13     1.785     1.967     1.102     0.415     0.378     0.065       13.581
     2.14     1.785     1.967     1.102     0.415     0.378     0.065       13.584
     2.15     1.785     1.967     1.102     0.414     0.378     0.065       13.587
     2.16     1.785     1.967     1.102     0.414     0.378     0.065       13.589
     2.17     1.786     1.967     1.102     0.414     0.378     0.065       13.592
     2.18     1.786     1.968     1.102     0.414     0.378     0.065       13.594
     2.19     1.786     1.968     1.102     0.414     0.378     0.065       13.597
     2.20     1.786     1.968     1.102     0.414     0.378     0.065       13.600
     2.21     1.786     1.969     1.102     0.414     0.378     0.065       13.603
     2.22     1.786     1.969     1.102     0.414     0.378     0.065       13.606
     2.23     1.786     1.969     1.102     0.414     0.378     0.065       13.609
     2.24     1.786     1.969     1.102     0.414     0.378     0.065       13.611
     2.25     1.786     1.969     1.102     0.414     0.378     0.065       13.614
     2.26     1.787     1.969     1.102     0.414     0.378     0.065       13.618
     2.27     1.787     1.970     1.102     0.414     0.378     0.065       13.621
     2.28     1.787     1.970     1.102     0.414     0.378     0.065       13.624
     2.29     1.787     1.970     1.103     0.414     0.378     0.065       13.627
     2.30     1.787     1.970     1.103     0.414     0.378     0.065       13.630
     2.31     1.787     1.970     1.103     0.414     0.378     0.065       13.633
     2.32     1.787     1.970     1.103     0.414     0.378     0.065       13.636
     2.33     1.787     1.971     1.103     0.414     0.378     0.065       13.639
     2.34     1.787     1.971     1.103     0.414     0.378     0.065       13.642
     2.35     1.787     1.971     1.103     0.414     0.378     0.065       13.645
     2.36     1.787     1.971     1.103     0.413     0.378     0.065       13.648
     2.37     1.787     1.971     1.103     0.413     0.378     0.065       13.650
     2.38     1.788     1.972     1.103     0.413     0.378     0.065       13.653
     2.39     1.788     1.972     1.103     0.413     0.378     0.065       13.656
     2.40     1.788     1.972     1.103     0.413     0.378     0.065       13.659
     2.41     1.788     1.973     1.103     0.413     0.378     0.065       13.662
     2.42     1.788     1.973     1.103     0.413     0.378     0.065       13.665
     2.43     1.788     1.973     1.103     0.413     0.378     0.065       13.668
