    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     7.38     0.195     0.302     1.546     0.900     0.524     0.079       23.397
     7.39     0.195     0.301     1.543     0.900     0.523     0.079       23.330
     7.40     0.194     0.299     1.538     0.901     0.521     0.079       23.219
     7.41     0.194     0.298     1.535     0.901     0.520     0.079       23.164
     7.42     0.194     0.296     1.530     0.902     0.518     0.079       23.059
     7.43     0.193     0.295     1.526     0.902     0.517     0.079       22.970
     7.44     0.193     0.293     1.521     0.903     0.515     0.079       22.844
     7.45     0.193     0.292     1.517     0.903     0.514     0.079       22.765
     7.46     0.192     0.290     1.510     0.904     0.511     0.078       22.617
     7.47     0.192     0.289     1.507     0.904     0.510     0.078       22.567
     7.48     0.191     0.288     1.503     0.905     0.509     0.078       22.480
     7.49     0.191     0.287     1.501     0.905     0.508     0.078       22.414
     7.50     0.191     0.285     1.496     0.905     0.506     0.078       22.314
     7.51     0.190     0.284     1.493     0.906     0.505     0.078       22.257
     7.52     0.190     0.282     1.485     0.907     0.502     0.078       22.102
     7.53     0.190     0.281     1.481     0.907     0.501     0.078       22.022
     7.54     0.189     0.279     1.477     0.907     0.499     0.078       21.924
     7.55     0.189     0.279     1.475     0.908     0.498     0.078       21.885
     7.56     0.188     0.277     1.471     0.908     0.497     0.077       21.798
     7.57     0.188     0.276     1.467     0.909     0.495     0.077       21.726
     7.58     0.188     0.274     1.460     0.909     0.493     0.077       21.580
     7.59     0.187     0.273     1.459     0.909     0.492     0.077       21.544
     7.60     0.187     0.271     1.451     0.910     0.490     0.077       21.394
     7.61     0.186     0.270     1.447     0.911     0.488     0.077       21.321
     7.62     0.186     0.269     1.444     0.911     0.487     0.077       21.271
     7.63     0.186     0.268     1.442     0.911     0.486     0.077       21.217
     7.64     0.185     0.266     1.437     0.912     0.484     0.076       21.112
     7.65     0.185     0.265     1.434     0.912     0.484     0.076       21.061
     7.66     0.185     0.264     1.429     0.913     0.482     0.076       20.966
     7.67     0.184     0.263     1.426     0.913     0.481     0.076       20.912
     7.68     0.184     0.261     1.419     0.914     0.478     0.076       20.784
     7.69     0.183     0.260     1.418     0.914     0.478     0.076       20.749
     7.70     0.183     0.259     1.416     0.914     0.477     0.076       20.698
     7.71     0.183     0.258     1.412     0.914     0.476     0.076       20.637
     7.72     0.182     0.256     1.406     0.915     0.473     0.076       20.522
     7.73     0.182     0.256     1.405     0.915     0.473     0.075       20.499
     7.74     0.182     0.255     1.404     0.915     0.473     0.075       20.465
     7.75     0.181     0.254     1.401     0.916     0.471     0.075       20.392
     7.76     0.181     0.252     1.393     0.917     0.468     0.075       20.259
     7.77     0.180     0.251     1.390     0.917     0.467     0.075       20.203
     7.78     0.180     0.249     1.385     0.917     0.466     0.075       20.116
     7.79     0.180     0.249     1.384     0.918     0.465     0.075       20.075
     7.80     0.179     0.248     1.381     0.918     0.464     0.075       20.018
     7.81     0.179     0.247     1.379     0.918     0.464     0.075       19.984
     7.82     0.179     0.245     1.375     0.919     0.462     0.074       19.914
     7.83     0.178     0.245     1.373     0.919     0.462     0.074       19.876
     7.84     0.178     0.244     1.373     0.919     0.461     0.074       19.839
     7.85     0.177     0.243     1.371     0.919     0.461     0.074       19.798
     7.86     0.177     0.241     1.363     0.920     0.458     0.074       19.676
     7.87     0.177     0.240     1.361     0.920     0.457     0.074       19.623
     7.88     0.176     0.240     1.361     0.920     0.457     0.074       19.610
     7.89     0.176     0.239     1.360     0.921     0.457     0.074       19.568
     7.90     0.175     0.238     1.354     0.921     0.455     0.074       19.465
     7.91     0.175     0.237     1.353     0.921     0.454     0.074       19.456
     7.92     0.175     0.236     1.349     0.922     0.453     0.074       19.369
     7.93     0.174     0.235     1.346     0.922     0.452     0.073       19.314
     7.94     0.174     0.234     1.344     0.922     0.451     0.073       19.260
     7.95     0.174     0.233     1.343     0.923     0.451     0.073       19.230
     7.96     0.173     0.232     1.339     0.923     0.449     0.073       19.165
     7.97     0.173     0.231     1.337     0.923     0.449     0.073       19.121
     7.98     0.172     0.230     1.336     0.924     0.448     0.073       19.085
     7.99     0.172     0.229     1.334     0.924     0.447     0.073       19.027
     8.00     0.172     0.229     1.332     0.924     0.447     0.073       18.978
     8.01     0.171     0.227     1.330     0.925     0.446     0.073       18.961
     8.02     0.171     0.226     1.326     0.925     0.445     0.073       18.881
     8.03     0.170     0.225     1.324     0.925     0.444     0.073       18.838
     8.04     0.170     0.225     1.323     0.926     0.443     0.073       18.794
     8.05     0.169     0.224     1.322     0.926     0.443     0.072       18.775
     8.06     0.169     0.224     1.323     0.926     0.443     0.072       18.778
     8.07     0.169     0.223     1.320     0.926     0.442     0.072       18.721
     8.08     0.168     0.221     1.316     0.927     0.441     0.072       18.639
     8.09     0.168     0.221     1.314     0.927     0.440     0.072       18.573
     8.10     0.168     0.220     1.312     0.927     0.440     0.072       18.537
     8.11     0.167     0.219     1.313     0.927     0.440     0.072       18.546
     8.12     0.167     0.218     1.310     0.928     0.439     0.072       18.491
     8.13     0.166     0.218     1.309     0.928     0.438     0.072       18.447
     8.14     0.166     0.217     1.306     0.928     0.437     0.072       18.381
     8.15     0.166     0.216     1.303     0.928     0.436     0.072       18.313
     8.16     0.165     0.214     1.299     0.929     0.435     0.071       18.240
     8.17     0.165     0.213     1.298     0.929     0.434     0.071       18.211
     8.18     0.164     0.213     1.296     0.929     0.434     0.071       18.165
     8.19     0.164     0.212     1.295     0.930     0.434     0.071       18.137
     8.20     0.163     0.212     1.295     0.930     0.434     0.071       18.131
     8.21     0.163     0.211     1.295     0.930     0.433     0.071       18.112
     8.22     0.163     0.210     1.290     0.930     0.432     0.071       18.007
     8.23     0.162     0.209     1.288     0.931     0.431     0.071       17.955
     8.24     0.162     0.208     1.284     0.931     0.430     0.071       17.855
     8.25     0.162     0.207     1.281     0.931     0.429     0.071       17.795
     8.26     0.161     0.206     1.283     0.932     0.429     0.071       17.835
     8.27     0.161     0.206     1.282     0.932     0.429     0.071       17.814
     8.28     0.160     0.205     1.281     0.932     0.428     0.071       17.767
     8.29     0.160     0.204     1.280     0.932     0.428     0.071       17.727
     8.30     0.159     0.203     1.274     0.933     0.426     0.070       17.610
     8.31     0.159     0.202     1.273     0.933     0.426     0.070       17.581
     8.32     0.159     0.202     1.271     0.933     0.425     0.070       17.525
     8.33     0.158     0.201     1.270     0.933     0.425     0.070       17.505
     8.34     0.158     0.201     1.271     0.933     0.425     0.070       17.496
     8.35     0.158     0.200     1.268     0.934     0.424     0.070       17.438
     8.36     0.157     0.199     1.268     0.934     0.424     0.070       17.432
